Date, Name, Minutes, Seconds, Distance,Pace, Unit, Feel, Notes, Cross Train Type, Calulate Pace, Field 1, Field 2
2011-02-03,20 min tempo,20,0,3.57365,05:35,miles,3,,,1,,
2011-02-03,Batman,19,34,2.75,07:06,miles,3,,,1,,
2011-02-04,Cross Train (bike),60,0,13.7,04:22,miles,,,bike,0,,
2011-02-04,Commute (Bike),28,8,3.75,07:30,miles,4,,,1,,
2011-02-04,Batman,19,10,2.75,06:58,miles,3,,,1,,
2011-02-04,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-02-05,Cross Train (bike),29,29,6.69,04:24,miles,,,bike,0,,
2011-02-05,Commute (Bike),13,44,1.83,07:30,miles,4,,,1,,
2011-02-05,Rich Man's,29,56,4.4,06:48,miles,4,,,1,,
2011-02-06,Cross Train (bike),29,29,6.69,04:24,miles,,,bike,0,,
2011-02-06,Commute (Bike),13,44,1.83,07:30,miles,4,,,1,,
2011-02-06,South Shore,98,47,12.98,07:36,miles,4,"http://www.mapmyrun.com/routes/view/24916168/

Run with female",,1,,
2011-02-07,Cross Train (bike),60,0,13.7,04:22,miles,,,bike,0,,
2011-02-07,Commute (Bike),28,8,3.75,07:30,miles,4,,,1,,
2011-02-07,Iron Mountain,43,30,6,07:15,miles,4,,,1,,
2011-02-08,Cross Train (bike),56,56,13,04:22,miles,,,bike,0,,
2011-02-08,Commute (Bike),26,43,3.56,07:30,miles,3,,,1,,
2011-02-08,Batman,19,13,2.75,06:59,miles,1,,,1,,
2011-02-08,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-02-10,Cross Train (bike),95,20,21.7594,04:22,miles,,,bike,0,,
2011-02-10,Commute (Bike),44,45,5.97,07:29,miles,3,,,1,,
2011-02-10,Rich Man's,31,49,4.4,07:13,miles,1,,,1,,
2011-02-09,Cross Train (bike),37,0,8.4,04:24,miles,,,bike,0,,
2011-02-09,Commute (Bike),17,15,2.299,07:30,miles,3,,,1,,
2011-02-11,Cross Train (bike),60,0,13.7,04:22,miles,,,bike,0,,
2011-02-11,Commute (Bike),28,8,3.75,07:30,miles,3,,,1,,
2011-02-11,Iron Mountain,49,40,6.667,07:26,miles,2,,,1,,
2011-02-11,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-02-12,Cross Train (bike),29,5,6.6413,04:22,miles,,,bike,0,,
2011-02-12,Commute (Bike),13,38,1.818,07:29,miles,4,,,1,,
2011-02-12,Batman,19,25,2.94,06:36,miles,3,,,1,,
2011-02-12,20 min tempo,20,0,3.605,05:32,miles,4,,,1,,
2011-02-12,10 min tempo,10,0,3,03:20,km,4,,,1,,
2011-02-12,Batman,17,8,2.51,06:49,miles,4,,,1,,
2011-02-13,Cross Train (bike),29,5,6.64,04:22,miles,,,bike,0,,
2011-02-13,Commute (Bike),13,38,1.82,07:29,miles,4,,,1,,
2011-02-13,Hawthorne,90,18,13.015,06:56,miles,4,http://www.gmap-pedometer.com/?r=4289227,,1,,
2011-02-14,Cross Train (bike),56,57,13.7,04:09,miles,,,bike,0,,
2011-02-14,Commute (Bike),28,26,3.79,07:30,miles,3,,,1,,
2011-02-14,Iron Mountain,45,0,6,07:30,miles,2,,,1,,
2011-02-15,Cross Train (bike),60,0,13.7,04:22,miles,,,bike,0,,
2011-02-15,Commute (Bike),28,8,3.75,07:30,miles,3,,,1,,
2011-02-15,5x2000,45,167,7.42984,06:25,miles,2,,,1,,
2011-02-16,Cross Train (bike),60,0,13.7,04:22,miles,,,bike,0,,
2011-02-16,Commute (Bike),28,8,3.75,07:30,miles,3,,,1,,
2011-02-16,Batman,21,54,3,07:18,miles,3,,,1,,
2011-02-15,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-02-17,Cross Train (bike),60,0,13.5,04:26,miles,,,bike,0,,
2011-02-17,Commute (Bike),27,9,3.62,07:30,miles,3,,,1,,
2011-02-17,6x700,46,127,9.7867,04:54,miles,3,,,1,,
2011-02-18,Cross Train (bike),67,27,15.4,04:22,miles,,,bike,0,,
2011-02-18,Commute (Bike),31,37,4.22,07:29,miles,3,,,1,,
2011-02-18,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-02-19,Cross Train (bike),28,49,6.58,04:22,miles,,,bike,0,,
2011-02-19,Commute (Bike),13,30,1.8,07:30,miles,4,,,1,,
2011-02-19,20 min tempo,49,144,8.47491,06:03,miles,3,,,1,,
2011-02-20,Cross Train (bike),89,34,20.45,04:22,miles,,,bike,0,,
2011-02-20,Commute (Bike),42,0,5.6,07:30,miles,4,,,1,,
2011-02-20,Elk Rock Island,89,28,11.52,07:45,miles,4,http://www.mapmyfitness.com/routes/view/28561030/,,1,,
2011-02-21,Cross Train (bike),60,0,13.7,04:22,miles,,,bike,0,,
2011-02-21,Commute (Bike),28,8,3.75,07:30,miles,4,,,1,,
2011-02-21,Batman,20,36,3,06:52,miles,2,,,1,,
2011-02-22,Cross Train (bike),36,47,8.4,04:22,miles,,,bike,0,,
2011-02-22,Commute (Bike),17,15,2.3,07:30,miles,4,,,1,,
2011-02-23,Cross Train (bike),67,0,15.3,04:22,miles,,,bike,0,,
2011-02-23,Commute (Bike),31,25,4.19,07:29,miles,3,,,1,,
2011-02-23,Batman,20,9,2.94,06:51,miles,3,,,1,,
2011-02-23,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-02-28,Batman,19,42,2.94,06:42,miles,4,,,1,,
2011-03-01,Cross Train (bike),59,7,13.5,04:22,miles,,,bike,0,,
2011-03-01,Commute (Bike),27,43,3.695,07:30,miles,3,,,1,,
2011-03-01,3x1000,46,110,7.86121,06:05,miles,2,,,1,,
2011-03-01,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-03-02,Cross Train (bike),57,3,13.5,04:13,miles,,,bike,0,,
2011-03-02,Commute (Bike),27,48,3.706,07:30,miles,3,,,1,,
2011-03-02,Pool run,22,0,2.933,07:30,miles,3,,,1,,
2011-03-03,Cross Train (bike),55,5,13.7,04:01,miles,,,bike,0,,
2011-03-03,Commute (Bike),28,53,3.851,07:30,miles,3,,,1,,
2011-03-03,5x1000,52,85,9.60105,05:33,miles,2,,,1,,
2011-03-04,Cross Train (bike),58,11,13.7,04:14,miles,,,bike,0,,
2011-03-04,Commute (Bike),28,9,3.752,07:30,miles,3,,,1,,
2011-03-04,Fail,9,40,1.2723,07:35,miles,1,,,1,,
2011-03-05,Cross Train (bike),26,31,6.6178,04:00,miles,,,bike,0,,
2011-03-05,Commute (Bike),13,59,1.86,07:31,miles,4,,,1,,
2011-03-05,Batman,20,25,3,06:48,miles,4,,,1,,
2011-03-05,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-03-06,Cross Train (bike),29,21,6.7149,04:22,miles,,,bike,0,,
2011-03-06,Commute (Bike),13,37,1.81448,07:30,miles,4,,,1,,
2011-03-06,North Shore,64,11,8.89,07:13,miles,4,,,1,,
2011-03-07,Cross Train (bike),53,22,13.5,03:57,miles,,,bike,0,,
2011-03-07,Commute (Bike),28,46,3.835,07:30,miles,4,,,1,,
2011-03-07,Rich Man's,31,4,4.4,07:03,miles,3,,,1,,
2011-03-07,400,0,59,0.4,,km,3,,,1,,
2011-03-08,Cross Train (bike),54,32,13.5,04:02,miles,,,bike,0,,
2011-03-08,Commute (Bike),28,24,3.787,07:29,miles,3,,,1,,
2011-03-08,"2x800, 1x1600, 4x400",49,147,8.48258,06:03,miles,3,,,1,,
2011-03-08,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-03-09,Cross Train (bike),79,5,19.8095,03:59,miles,,http://www.gmap-pedometer.com/?r=4338971,bike,0,,
2011-03-09,Commute (Bike),41,55,5.58991,07:29,miles,3,,,1,,
2011-03-09,Pool run,30,0,4,07:30,miles,2,,,1,,
2011-03-10,Cross Train (bike),57,15,13.5,04:14,miles,,,bike,0,,
2011-03-10,Commute (Bike),27,45,3.7,07:30,miles,3,,,1,,
2011-03-10,2 mile tempo,38,80,6.109,06:26,miles,2,,,1,,
2011-03-11,Cross Train (bike),56,8,13.5,04:09,miles,,,bike,0,,
2011-03-11,Commute (Bike),28,0,3.734,07:29,miles,4,,,1,,
2011-03-11,Batman,18,50,2.75,06:50,miles,2,,,1,,
2011-03-12,Cross Train (bike),31,0,6.6997,04:37,miles,,,bike,0,,
2011-03-12,Commute (Bike),13,14,1.764,07:30,miles,4,,,1,,
2011-03-12,6x1000,55,54,10.6015,05:16,miles,5,,,1,,
2011-03-12,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-03-13,Cross Train (bike),31,34,6.6997,04:42,miles,,,bike,0,,
2011-03-13,Commute (Bike),13,8,1.75,07:30,miles,3,,,1,,
2011-03-13,Oak's Bottom + Rich Man's,98,54,12.47,07:55,miles,2,http://www.mapmyfitness.com/routes/view/29601994/,,1,,
2011-03-14,Cross Train (bike),60,0,13.5,04:26,miles,,,bike,0,,
2011-03-14,Commute (Bike),27,15,3.633,07:30,miles,4,,,1,,
2011-03-14,Batman,19,47,2.75,07:11,miles,2,,,1,,
2011-03-15,Cross Train (bike),61,48,13.5,04:34,miles,,,bike,0,,
2011-03-15,Commute (Bike),26,48,3.57,07:30,miles,3,,,1,,
2011-03-16,Cross Train (bike),59,12,13.5,04:23,miles,,,bike,0,,
2011-03-16,Commute (Bike),27,19,3.643,07:29,miles,3,,,1,,
2011-03-16,Batman,19,58,2.83,07:03,miles,3,,,1,,
2011-03-16,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-03-17,Cross Train (bike),56,45,13.7,04:08,miles,,,bike,0,,
2011-03-17,Commute (Bike),28,29,3.79678,07:30,miles,4,,,1,,
2011-03-17,Pool run,30,0,4,07:30,miles,4,,,1,,
2011-03-18,Cross Train (bike),55,41,13.7,04:03,miles,,,bike,0,,
2011-03-18,Commute (Bike),28,44,3.8315,07:29,miles,5,,,1,,
2011-03-18,Pool run,30,0,4,07:30,miles,4,,,1,,
2011-03-19,Cross Train (bike),29,37,6.7118,04:24,miles,,,bike,0,,
2011-03-19,Commute (Bike),13,33,1.80573,07:30,miles,5,,,1,,
2011-03-19,5k,51,94,8.60686,06:06,miles,4,,,1,,
2011-03-19,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-03-20,Rich Man's,90,25,12.42,07:16,miles,4,http://www.mapmyfitness.com/routes/view/30045410/,,1,,
2011-03-20,Cross Train (bike),43,37,10.8,04:02,miles,,,bike,0,,
2011-03-20,Errands (bike),22,43,3.0294,07:29,miles,4,,,1,,
2011-03-21,Cross Train (bike),58,0,13.7,04:14,miles,,,bike,0,,
2011-03-21,Commute (Bike),28,11,3.75778,07:29,miles,3,,,1,,
2011-03-21,Pool run,30,0,4,07:30,miles,4,,,1,,
2011-03-22,Cross Train (bike),56,57,13.5,04:13,miles,,,bike,0,,
2011-03-22,Commute (Bike),27,49,3.709,07:29,miles,3,,,1,,
2011-03-22,Rich Man's,35,22,4.715,07:30,miles,3,,,1,,
2011-03-23,Cross Train (bike),58,6,13.8098,04:12,miles,,,bike,0,,
2011-03-23,Commute (Bike),28,30,3.79929,07:30,miles,4,,,1,,
2011-03-23,Cross Train (weights),0,0,,,miles,,,weights,0,,
2011-03-24,Cross Train (bike),36,33,8,04:34,miles,,,bike,0,,
2011-03-24,Commute (Bike),17,4,2.275,07:30,miles,4,,,1,,
2011-03-25,Cross Train (bike),56,10,13.5,04:09,miles,,,bike,0,,
2011-03-25,Commute (Bike),28,0,3.73339,07:29,miles,5,,,1,,
2011-03-25,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-03-27,Cross Train (bike),39,34,8.7441,04:31,miles,,,bike,0,,
2011-03-27,Commute (Bike),17,27,2.32585,07:30,miles,3,,,1,,
2011-03-27,Hawthorne,98,0,12.6539,07:44,miles,3,,,1,,
2011-03-28,Cross Train (bike),56,35,13.5,04:11,miles,,,bike,0,,
2011-03-28,Commute (Bike),27,54,3.72075,07:29,miles,3,,,1,,
2011-03-28,Rich Man's,32,22,4.4,07:21,miles,3,,,1,,
2011-03-30,Cross Train (bike),56,55,13.7,04:09,miles,,,bike,0,,
2011-03-30,Commute (Bike),28,42,3.82776,07:29,miles,3,,,1,,
2011-03-30,Iron Mountain,43,52,5.849,07:29,miles,3,,,1,,
2011-03-30,Cross Train (weights),30,0,,#DIV/0!,miles,,,weights,0,,
2011-03-31,Cross Train (bike),55,21,13.5,04:06,miles,,,bike,0,,
2011-03-31,Commute (Bike),28,12,3.75943,07:30,miles,3,,,1,,
2011-03-31,20 min tempo,57,94,9.10395,06:25,miles,2,,,1,,
2011-04-01,Cross Train (bike),56,43,13.7,04:08,miles,,,bike,0,,
2011-04-01,Commute (Bike),27,52,3.71655,07:29,miles,3,,,1,,
2011-04-01,Batman,18,50,2.75,06:50,miles,2,,,1,,
2011-04-02,Cross Train (bike),27,51,6.7,04:09,miles,,,bike,0,,
2011-04-02,Commute (Bike),13,54,1.85391,07:29,miles,4,,,1,,
